"Main_gene_name","frequency"
"H3C1",3
"HADH",3
"HAVCR2",3
"HCN4",3
"HES7",3
"HNRNPH2",3
"HPCA",3
"HPD",3
"HR",3
"IGSF1",3
"IL11RA",3
"ING1",3
"INSL3",3
"ITGA3",3
"ITGB6",3
"KANK2",3
"KATNB1",3
"KBTBD13",3
"KCNJ13",3
"KCNN3",3
"KCNN4",3
"KCNQ3",3
"KDM1A",3
"KLKB1",3
"KRT25",3
"KRT74",3
"KRT8",3
"KRT81",3
"LARS2",3
"LIPT1",3
"LIPT2",3
"LMNB2",3
"LPAR6",3
"LRTOMT",3
"MANBA",3
"MAP2K1",3
"MAP3K1",3
"MAPK8IP3",3
"MAPRE2",3
"MATR3",3
"MDH2",3
"MECOM",3
"MECR",3
"MED13",3
"MED13L",3
"MEGF10",3
"MEGF8",3
"MERTK",3
"MFSD2A",3
"MGAT2",3
"MIPEP",3
"MMADHC",3
"MOCOS",3
"MPDU1",3
"MPO",3
"MRAS",3
"MRPS2",3
"MTFMT",3
"MVD",3
"MYCN",3
"MYLK",3
"MYMK",3
"MYO6",3
"NAA10",3
"NARS2",3
"NCAPG2",3
"NDUFAF3",3
"NDUFAF5",3
"NDUFB8",3
"NDUFS2",3
"NDUFS8",3
"NDUFV1",3
"NEK1",3
"NEK8",3
"NEK9",3
"NFIB",3
"NKAP",3
"NLRC4",3
"NOBOX",3
"NOTCH1",3
"NSDHL",3
"NTRK3",3
"NUP133",3
"NUP93",3
"OPN1LW",3
"P2RY12",3
"PADI3",3
"PCBD1",3
"PDZD7",3
"PFN1",3
"PGAM2",3
"PGAP3",3
"PHACTR1",3
"PIBF1",3
"PIK3R2",3
"PJVK",3
"PLEKHG5",3
"PLN",3
"PLOD2",3
"PLPBP",3
"PMP2",3
"PNPO",3
"POGLUT1",3
"POLA1",3
"POLE",3
"POMGNT2",3
"POMK",3
"POP1",3
"PPARG",3
"PRICKLE1",3
"PRMT7",3
"PROM1",3
"PSAT1",3
"PSMB8",3
"PSTPIP1",3
"PTDSS1",3
"PUM1",3
"RAB27A",3
"RAD21",3
"RAD51",3
"RANBP2",3
"RASA1",3
"REEP6",3
"REN",3
"RFT1",3
"RFX6",3
"RIPK1",3
"RIPK4",3
"RLBP1",3
"RNF125",3
"RNF213",3
"SC5D",3
"SCN3B",3
"SCN4B",3
"SEC61A1",3
"SEPSECS",3
"SERAC1",3
"SERPIND1",3
"SGPL1",3
"SHANK3",3
"SIK1",3
"SLC10A7",3
"SLC11A2",3
"SLC16A1",3
"SLC19A2",3
"SLC1A2",3
"SLC25A11",3
"SLC25A20",3
"SLC25A26",3
"SLC26A8",3
"SLC28A1",3
"SLC2A2",3
"SLC45A1",3
"SLC9A3",3
"SMARCB1",3
"SMOC1",3
"SOST",3
"SPECC1L",3
"SPINK1",3
"ST3GAL3",3
"STAG2",3
"SUCLA2",3
"SUCLG1",3
"SUN5",3
"SUZ12",3
"SYNJ1",3
"TCF12",3
"TENM4",3
"TFG",3
"TFR2",3
"TLL1",3
"TMEM165",3
"TMEM199",3
"TMEM43",3
"TMEM63A",3
"TMIE",3
"TMX2",3
"TP53RK",3
"TPK1",3
"TRIM32",3
"TRIM37",3
"TSEN15",3
"TTC37",3
"TUBG1",3
"U2AF1",3
"UBA1",3
"UMPS",3
"USH1G",3
"VAC14",3
"VAMP2",3
"VANGL1",3
"VANGL2",3
"VAPB",3
"VARS2",3
"WWOX",3
"XK",3
"XYLT1",3
"YWHAG",3
"ZFP57",3
"ZMPSTE24",3
"ABL1",2
"ACAN",2
"ACVR2B",2
"ADAMTS18",2
"ADAMTS3",2
"ADCY5",2
"ADGRG6",2
"ADGRV1",2
"ADPRS",2
"AGBL5",2
"AIPL1",2
"AK2",2
"AKT2",2
"ALG13",2
"ALG3",2
"ALG8",2
"ALG9",2
"AMPD1",2
"ANKLE2",2
"ANKS6",2
"ANLN",2
"AP1S3",2
"AP4E1",2
"APOL1",2
"ARF1",2
"ARID1B",2
"ARIH1",2
"ARL3",2
"ATAD3A",2
"ATF6",2
"ATOH7",2
"ATP5F1A",2
"ATP5F1D",2
"ATP6AP2",2
"ATP6V1E1",2
"AVIL",2
"B2M",2
"B3GAT3",2
"B4GALNT1",2
"B4GALT7",2
"B4GAT1",2
"B9D1",2
"BBS5",2
"BCL11B",2
"BGN",2
"BOLA3",2
"BPGM",2
"BPNT2",2
"BPTF",2
"BRPF1",2
"C1GALT1C1",2
"C1QBP",2
"C9",2
"CA12",2
"CAPN5",2
"CBX2",2
"CCDC115",2
"CCDC22",2
"CCNO",2
"CD40",2
"CDC73",2
"CDCA7",2
"CDH3",2
"CEACAM16",2
"CELA2A",2
"CENPE",2
"CEP152",2
"CEP164",2
"CEP83",2
"CERT1",2
"CFD",2
"CHD2",2
"CHKB",2
"CHMP4B",2
"CHRNA4",2
"CHRNB2",2
"CIITA",2
"CLDN10",2
"COA6",2
"COA7",2
"COG4",2
"COL12A1",2
"COL5A2",2
"COLEC11",2
"CORIN",2
"CPA6",2
"CRYBB1",2
"CRYBB3",2
"CRYGC",2
"CSNK1D",2
"CSRP3",2
"CST3",2
"CTH",2
"CTSD",2
"CUL3",2
"CUL4B",2
"CYC1",2
"CYLD",2
"CYP26B1",2
"DCC",2
"DCDC2",2
"DDB2",2
"DDX58",2
"DDX59",2
"DGKE",2
"DHFR",2
"DMXL2",2
"DNAJB11",2
"DOCK2",2
"DOLK",2
"DPH1",2
"DSTYK",2
"DYNC2LI1",2
"DYRK1B",2
"DZIP1L",2
"EDNRA",2
"EGLN1",2
"EIF2AK4",2
"EIF2B1",2
"EIF4G1",2
"ELOVL5",2
"EMC1",2
"EML1",2
"EMP2",2
"ENAM",2
"ENO3",2
"EOGT",2
"EPG5",2
"ERBB4",2
"ERCC3",2
"ESPN",2
"ESR1",2
"ETFB",2
"EVC2",2
"EXOSC2",2
"EXOSC8",2
"EYA4",2
"FAM126A",2
"FANCI",2
"FERMT1",2
"FGD4",2
"FGF10",2
"FGF3",2
"FOXN1",2
"FOXRED1",2
"FTCD",2
"FTL",2
"FZD2",2
"GABRB1",2
"GALM",2
"GATA3",2
"GCNT2",2
"GDI1",2
"GDNF",2
"GFI1",2
"GFM2",2
"GHSR",2
"GINS1",2
"GLDN",2
"GLI2",2
"GLRX5",2
"GLUL",2
"GM2A",2
"GNAL",2
"GNB4",2
"GP1BB",2
"GP6",2
"GPHN",2
"GRHL2",2
"GRK1",2
"GSN",2
"GSTZ1",2
"GTF2E2",2
"GUCY2C",2
"H6PD",2
"HARS2",2
"HAX1",2
"HEPHL1",2
"HFM1",2
"HNMT",2
"HNRNPDL",2
"HOGA1",2
"HPGD",2
"HPS5",2
"HRG",2
"HSD3B7",2
"HSPA9",2
"HSPD1",2
"HTRA2",2
"HTT",2
"IER3IP1",2
"IFT43",2
"IFT80",2
"IGSF10",2
"IL2RA",2
"IL6ST",2
"IMPG2",2
"INVS",2
"IQSEC1",2
"IRAK4",2
"IRF1",2
"IRF8",2
"IRS1",2
"IRX5",2
"IYD",2
"JAM3",2
"KCNK4",2
"KDM6B",2
"KDR",2
"KERA",2
"KHK",2
"KIF14",2
"KIF2A",2
"KIF5C",2
"KLF11",2
"KLHL10",2
"KRIT1",2
"KRT3",2
"KRT83",2
"LAGE3",2
"LCT",2
"LDHD",2
"LDLRAP1",2
"LEP",2
"LGI4",2
"LHX3",2
"LIG4",2
"LINGO1",2
"LIPC",2
"LIPH",2
"LRIT3",2
"LRRC6",2
"LYZ",2
"MAN1B1",2
"MASP2",2
"MCIDAS",2
"MED25",2
"MEF2C",2
"MINPP1",2
"MKS1",2
"MMP2",2
"MOCS2",2
"MOGS",2
"MPC1",2
"MSMO1",2
"MTHFS",2
"MTMR14",2
"MTR",2
"MYD88",2
"MYH8",2
"MYLK2",2
"MYORG",2
"MYOZ2",2
"MYRF",2
"NAXD",2
"NAXE",2
"NDUFA1",2
"NDUFA9",2
"NDUFAF4",2
"NDUFS1",2
"NDUFS3",2
"NEUROD1",2
"NEUROD2",2
"NEUROG3",2
"NHEJ1",2
"NHP2",2
"NIN",2
"NIPA1",2
"NLGN3",2
"NOL3",2
"NSMCE3",2
"NSMF",2
"NTN1",2
"NUBPL",2
"NUP214",2
"NUP85",2
"NUS1",2
"OGT",2
"OPA3",2
"OTULIN",2
"P2RX2",2
"P4HA2",2
"PADI6",2
"PAK1",2
"PAK3",2
"PANX1",2
"PARD3",2
"PARN",2
"PATL2",2
"PCGF2",2
"PCSK1",2
"PDGFB",2
"PDGFRA",2
"PDHB",2
"PDXK",2
"PEX16",2
"PEX3",2
"PEX5",2
"PEX7",2
"PHOX2B",2
"PHYKPL",2
"PIGC",2
"PIGS",2
"PIGU",2
"PIGW",2
"PIK3R1",2
"PLA2G5",2
"PLA2G7",2
"PLAA",2
"PLCD1",2
"PLEC",2
"PNKD",2
"PNPT1",2
"POLD1",2
"POLG2",2
"POLR1A",2
"POLR2A",2
"PPCS",2
"PQBP1",2
"PRCD",2
"PRDM6",2
"PRKD1",2
"PRKDC",2
"PRLR",2
"PRPF3",2
"PRPF31",2
"PRPF4",2
"PSPH",2
"PTH",2
"PTHLH",2
"PYCR2",2
"PYGL",2
"PYROXD1",2
"QRSL1",2
"RAB11B",2
"RAB23",2
"RAB33B",2
"RAB39B",2
"RARS1",2
"RAX2",2
"RBCK1",2
"RBPJ",2
"REEP2",2
"REPS1",2
"RHBDF2",2
"RHOA",2
"RINT1",2
"RNASEH1",2
"RNF13",2
"RNF216",2
"ROBO2",2
"RP1L1",2
"RP9",2
"RPL5",2
"RPS23",2
"RPS26",2
"RPS29",2
"RTTN",2
"RUNX1",2
"RXYLT1",2
"S1PR2",2
"SARDH",2
"SBDS",2
"SBF1",2
"SCN10A",2
"SCN2B",2
"SCRIB",2
"SDHAF1",2
"SDR9C7",2
"SEC24D",2
"SELENBP1",2
"SEPTIN12",2
"SEPTIN9",2
"SERPINA6",2
"SERPINI1",2
"SET",2
"SETD2",2
"SFTPA2",2
"SGCD",2
"SHOC2",2
"SLC10A2",2
"SLC12A1",2
"SLC13A3",2
"SLC17A9",2
"SLC18A3",2
"SLC19A3",2
"SLC1A4",2
"SLC24A4",2
"SLC25A12",2
"SLC25A19",2
"SLC25A24",2
"SLC26A1",2
"SLC30A10",2
"SLC30A2",2
"SLC33A1",2
"SLC35A2",2
"SLC35C1",2
"SLC36A2",2
"SLC6A17",2
"SLC6A3",2
"SLC6A6",2
"SLITRK1",2
"SMARCD1",2
"SMARCE1",2
"SNTA1",2
"SOS2",2
"SOX11",2
"SOX17",2
"SOX18",2
"SPARC",2
"SPR",2
"SPRED1",2
"SPTBN2",2
"STAT5B",2
"STN1",2
"STOX1",2
"STX1B",2
"SUFU",2
"SYNE1",2
"SYT2",2
"TAB2",2
"TAC3",2
"TAF13",2
"TAF6",2
"TARS1",2
"TBC1D8B",2
"TBCK",2
"TBX18",2
"TBX20",2
"TBX3",2
"TBX4",2
"TEX11",2
"TF",2
"THRA",2
"THSD1",2
"TKFC",2
"TMC1",2
"TMEM231",2
"TMEM98",2
"TMTC3",2
"TNC",2
"TNNT3",2
"TOP3A",2
"TOR1A",2
"TPRKB",2
"TRAF3IP2",2
"TRHR",2
"TRIM71",2
"TRIP11",2
"TRMT10C",2
"TRMT5",2
"TRMU",2
"TSFM",2
"TUBB2A",2
"TUBB4A",2
"TUBB4B",2
"TYRP1",2
"UBE2A",2
"UFC1",2
"UFSP2",2
"UNC80",2
"UROC1",2
"VCL",2
"VPS33B",2
"VPS45",2
"WDR36",2
"WDR4",2
"WNT10B",2
"WNT5A",2
"WRN",2
"XPC",2
"XRCC4",2
"YARS1",2
"YARS2",2
"YY1",2
"ZBTB11",2
"ZDHHC9",2
"ZEB2",2
"ZNF142",2
"ZNF408",2
"ZNF423",2
"ABAT",1
"ABCA7",1
"ABCD4",1
"ABHD12",1
"ABRAXAS1",1
"ACADSB",1
"ACD",1
"ACER3",1
"ACOX2",1
"ACSL4",1
"ACTL6A",1
"ADAMTS10",1
"ADAT3",1
"ADCY6",1
"ADD3",1
"ADGRB2",1
"ADGRE2",1
"ADIPOQ",1
"ADSS1",1
"AGBL1",1
"AGGF1",1
"AGL",1
"AGO1",1
"AGT",1
"AGTR1",1
"AIP",1
"AK7",1
"AKAP9",1
"ALDH4A1",1
"ALDH6A1",1
"ALG14",1
"ALG2",1
"AMMECR1",1
"ANO10",1
"ANXA11",1
"AP1B1",1
"AP2M1",1
"AP3B1",1
"APCDD1",1
"APOC2",1
"APOC3",1
"APPL1",1
"ARHGAP26",1
"ARHGEF10",1
"ARHGEF18",1
"ARL2BP",1
"ARMC4",1
"ARSG",1
"ARV1",1
"ASH1L",1
"ASPH",1
"ATCAY",1
"ATG16L1",1
"ATG5",1
"ATIC",1
"ATL3",1
"ATP11C",1
"ATP2A1",1
"ATP2B3",1
"ATP5F1E",1
"ATP6V1B2",1
"ATP8A2",1
"ATPAF2",1
"ATR",1
"AUH",1
"B9D2",1
"BAAT",1
"BACH2",1
"BANF1",1
"BBS9",1
"BCO1",1
"BCOR",1
"BDNF",1
"BFSP1",1
"BFSP2",1
"BICC1",1
"BMPER",1
"BMS1",1
"BNC2",1
"BRWD3",1
"BVES",1
"C12orf4",1
"C12orf57",1
"C1orf194",1
"C1QB",1
"C1QC",1
"C1QTNF5",1
"C1S",1
"C2CD3",1
"CA5A",1
"CA8",1
"CABP4",1
"CACNA2D2",1
"CACNB4",1
"CACNG2",1
"CAD",1
"CAMK2G",1
"CAPN1",1
"CARS2",1
"CASP8",1
"CASZ1",1
"CBLIF",1
"CCDC88C",1
"CCNK",1
"CCT5",1
"CD207",1
"CD27",1
"CD55",1
"CD59",1
"CD79B",1
"CD8A",1
"CD96",1
"CDC42",1
"CDC6",1
"CDHR1",1
"CDK6",1
"CEBPA",1
"CENPJ",1
"CEP120",1
"CERKL",1
"CERS1",1
"CFAP300",1
"CFC1",1
"CFL2",1
"CHCHD2",1
"CHRDL1",1
"CHRNA2",1
"CHST8",1
"CHSY1",1
"CLCC1",1
"CLCF1",1
"CLCNKA",1
"CLIC2",1
"CLMP",1
"CLP1",1
"CLPX",1
"CLTC",1
"CNGA1",1
"CNGB1",1
"CNOT1",1
"COA5",1
"COASY",1
"COG2",1
"COG6",1
"COL25A1",1
"COL27A1",1
"COL4A6",1
"COL9A2",1
"COL9A3",1
"COLEC10",1
"COQ7",1
"CORO1A",1
"COX20",1
"COX4I2",1
"COX5A",1
"COX6B1",1
"CPAMD8",1
"CPN1",1
"CPT1C",1
"CRADD",1
"CRBN",1
"CRIPT",1
"CRNN",1
"CRYBA2",1
"CRYGS",1
"CRYM",1
"CSF2RA",1
"CSNK1G1",1
"CSTB",1
"CTBP1",1
"CTCF",1
"CTLA4",1
"CTNNA3",1
"CUBN",1
"CUX2",1
"CYB561",1
"CYB5A",1
"CYCS",1
"CYP2R1",1
"DACT1",1
"DCAF8",1
"DCPS",1
"DDHD2",1
"DDOST",1
"DDX11",1
"DDX41",1
"DHDDS",1
"DHH",1
"DHPS",1
"DHTKD1",1
"DHX16",1
"DHX38",1
"DIABLO",1
"DIAPH1",1
"DLL1",1
"DLL3",1
"DLST",1
"DLX5",1
"DMGDH",1
"DNAAF1",1
"DNAAF3",1
"DNAAF5",1
"DNAAF6",1
"DNAI1",1
"DNAJB13",1
"DNAJB2",1
"DNAJC12",1
"DNAJC21",1
"DNAJC5",1
"DNAJC6",1
"DNAL1",1
"DOCK8",1
"DPM2",1
"DPM3",1
"DPP6",1
"DSE",1
"DYNC1I2",1
"DYNC2I1",1
"ECE1",1
"ECM1",1
"EDC3",1
"EEF2",1
"EFEMP1",1
"EGF",1
"EGFR",1
"EHHADH",1
"EHMT1",1
"EIF2AK3",1
"EIF2S3",1
"EIF3F",1
"EIF4A3",1
"ELMOD3",1
"ELOVL1",1
"ELOVL4",1
"ELP1",1
"EMG1",1
"ENTPD1",1
"EP300",1
"EPB41L1",1
"EPCAM",1
"EPO",1
"EPOR",1
"EPRS1",1
"EPX",1
"ERAL1",1
"ERBB3",1
"ERCC1",1
"ERLIN1",1
"ERMARD",1
"ESCO2",1
"ESR2",1
"ESRP1",1
"EXOSC9",1
"FADD",1
"FAM83H",1
"FANCG",1
"FAR1",1
"FASLG",1
"FBXL3",1
"FBXO32",1
"FBXO38",1
"FBXO7",1
"FCGR3A",1
"FDPS",1
"FDX2",1
"FEZF1",1
"FGF12",1
"FGF14",1
"FGF16",1
"FGF5",1
"FGF9",1
"FGFR4",1
"FITM2",1
"FLAD1",1
"FOXC2",1
"FOXP2",1
"FRMPD4",1
"FRZB",1
"FSHB",1
"FUT8",1
"FXYD2",1
"FYCO1",1
"FZD6",1
"GAB1",1
"GABRB2",1
"GABRD",1
"GAD1",1
"GAL",1
"GAS8",1
"GATAD1",1
"GFER",1
"GLYCTK",1
"GMNN",1
"GNAI3",1
"GNAQ",1
"GNB5",1
"GOSR2",1
"GOT2",1
"GPC3",1
"GPD1",1
"GPR101",1
"GPR68",1
"GPRASP2",1
"GPT2",1
"GRAP",1
"GRIK2",1
"GRIN2D",1
"GRN",1
"GSR",1
"GSX2",1
"GTF2H5",1
"GUCA1B",1
"GUF1",1
"HABP2",1
"HCCS",1
"HCFC1",1
"HCRT",1
"HERC1",1
"HERC2",1
"HIBCH",1
"HIKESHI",1
"HMCN1",1
"HNRNPA2B1",1
"HOMER2",1
"HOXA2",1
"HOXB1",1
"HOXB13",1
"HOXD10",1
"HP",1
"HPS3",1
"HSPB3",1
"HSPG2",1
"HYAL1",1
"HYLS1",1
"IBA57",1
"IDH3B",1
"IFITM5",1
"IFT27",1
"IFT52",1
"IFT81",1
"IGKC",1
"IGLL1",1
"IKBKB",1
"IL12RB1",1
"IL17F",1
"IL21",1
"IL21R",1
"IL2RB",1
"IL31RA",1
"IL7R",1
"ILDR1",1
"IMPG1",1
"INAVA",1
"ING3",1
"INTS1",1
"INTS8",1
"IRF2BP2",1
"IRF2BPL",1
"IRF3",1
"IRF7",1
"ISCA2",1
"ITGA8",1
"ITK",1
"ITM2B",1
"ITPA",1
"ITPR2",1
"KCNC1",1
"KCND2",1
"KCNJ6",1
"KCNJ8",1
"KCNK9",1
"KCNT2",1
"KCTD17",1
"KDSR",1
"KIAA0586",1
"KIF1B",1
"KIF1C",1
"KIF3C",1
"KISS1",1
"KITLG",1
"KL",1
"KLF1",1
"KLHL41",1
"KNL1",1
"KREMEN1",1
"KRT4",1
"KRT6B",1
"KRT6C",1
"KRT71",1
"KRT75",1
"KRT85",1
"KYNU",1
"LACC1",1
"LAMA4",1
"LAMC3",1
"LAMP2",1
"LARS1",1
"LCK",1
"LEFTY2",1
"LEMD2",1
"LFNG",1
"LHB",1
"LIAS",1
"LIFR",1
"LIM2",1
"LIPI",1
"LMAN1",1
"LMAN2L",1
"LMOD3",1
"LMX1A",1
"LPIN2",1
"LRAT",1
"LRBA",1
"LRP1",1
"LRP2",1
"LRPPRC",1
"LRRC56",1
"LRSAM1",1
"LTBP2",1
"LTBP4",1
"LYRM4",1
"LYRM7",1
"LZTFL1",1
"MAD2L2",1
"MAFA",1
"MAG",1
"MAGED2",1
"MAGT1",1
"MALT1",1
"MAOA",1
"MAP3K20",1
"MAPK8IP1",1
"MAPKAPK3",1
"MARK3",1
"MARS2",1
"MAST1",1
"MBTPS1",1
"MCM2",1
"MCM5",1
"MCM8",1
"MCPH1",1
"MDH1",1
"MED17",1
"MED23",1
"MEIOB",1
"MFAP5",1
"MFRP",1
"MGME1",1
"MIB1",1
"MID2",1
"MLPH",1
"MMP14",1
"MOG",1
"MPLKIP",1
"MRE11",1
"MRM2",1
"MRPL3",1
"MRPL44",1
"MRPS14",1
"MRPS22",1
"MRPS23",1
"MRPS34",1
"MRPS7",1
"MSH5",1
"MSN",1
"MSRB3",1
"MST1R",1
"MSTO1",1
"MTMR2",1
"MTO1",1
"MTPAP",1
"MXI1",1
"MXRA5",1
"MYF5",1
"MYH10",1
"MYH11",1
"MYH2",1
"MYL1",1
"MYL4",1
"MYO1E",1
"MYO1F",1
"MYSM1",1
"NACC1",1
"NBN",1
"NCAPD3",1
"NCAPH",1
"NCF1",1
"NCF4",1
"NCSTN",1
"NDUFA10",1
"NDUFA13",1
"NDUFA6",1
"NDUFAF7",1
"NDUFB11",1
"NDUFB3",1
"NDUFB9",1
"NDUFS4",1
"NDUFS6",1
"NDUFS7",1
"NECTIN4",1
"NFKBIA",1
"NGF",1
"NOP10",1
"NOTCH2",1
"NPHP1",1
"NPPA",1
"NPRL2",1
"NSUN2",1
"NT5E",1
"NTRK2",1
"NUP155",1
"NUP205",1
"NUP62",1
"NUP88",1
"OCLN",1
"OPCML",1
"ORC4",1
"ORC6",1
"OTOG",1
"P3H2",1
"P4HB",1
"P4HTM",1
"PACS1",1
"PACS2",1
"PALB2",1
"PAM16",1
"PAX1",1
"PAX5",1
"PAX7",1
"PAX9",1
"PCK1",1
"PCNA",1
"PDE1C",1
"PDE8B",1
"PDGFRL",1
"PDK3",1
"PDSS1",1
"PDSS2",1
"PER2",1
"PEX10",1
"PEX12",1
"PEX13",1
"PEX2",1
"PHC1",1
"PHF8",1
"PHKA1",1
"PHKB",1
"PHOX2A",1
"PI4KA",1
"PIGG",1
"PIGH",1
"PIGL",1
"PIGN",1
"PIGP",1
"PIGT",1
"PIGY",1
"PIK3CD",1
"PIK3R5",1
"PIKFYVE",1
"PIP5K1C",1
"PITPNM3",1
"PITX1",1
"PITX3",1
"PKD1L1",1
"PLA2G4A",1
"PLCE1",1
"PLCG2",1
"PLCZ1",1
"PLD1",1
"PLEKHG2",1
"PLOD3",1
"PLVAP",1
"PNLIP",1
"PNPLA1",1
"PNPLA2",1
"POC1A",1
"POC1B",1
"POF1B",1
"POGZ",1
"POU6F2",1
"PPIB",1
"PPIP5K2",1
"PPP1R15B",1
"PPP1R3A",1
"PPP2R2B",1
"PRDM16",1
"PRDM5",1
"PRDM8",1
"PRKACA",1
"PRKACG",1
"PRKG1",1
"PRKRA",1
"PRPF6",1
"PRRX1",1
"PRX",1
"PSMB9",1
"PTPRQ",1
"PTRH2",1
"PUF60",1
"PUS1",1
"PUS7",1
"PXDN",1
"RAB18",1
"RAB3GAP2",1
"RAB40AL",1
"RABL3",1
"RAC2",1
"RALGAPA1",1
"RASGRP1",1
"RAX",1
"RBBP8",1
"RBM28",1
"RBP3",1
"RDX",1
"RECQL4",1
"RFWD3",1
"RFX5",1
"RFXANK",1
"RGR",1
"RGS9",1
"RIC1",1
"RIMS1",1
"RMND1",1
"RNASET2",1
"RNF170",1
"RNPC3",1
"ROBO4",1
"ROR1",1
"RORB",1
"RORC",1
"RPIA",1
"RPL11",1
"RPL13",1
"RPL21",1
"RPL35A",1
"RSPH1",1
"RSPH4A",1
"RSPO2",1
"RSPRY1",1
"RTN2",1
"RTN4IP1",1
"RXFP2",1
"SALL4",1
"SAMD9L",1
"SARS1",1
"SARS2",1
"SASS6",1
"SCARB2",1
"SCARF2",1
"SCO1",1
"SDHAF2",1
"SEC23A",1
"SECISBP2",1
"SELENOI",1
"SERPINF2",1
"SERPINH1",1
"SETD5",1
"SFTPB",1
"SGO1",1
"SH3PXD2B",1
"SHROOM4",1
"SIGMAR1",1
"SIK3",1
"SKIV2L",1
"SLC17A8",1
"SLC18A2",1
"SLC1A1",1
"SLC1A3",1
"SLC22A18",1
"SLC25A13",1
"SLC25A21",1
"SLC25A22",1
"SLC25A3",1
"SLC25A32",1
"SLC25A42",1
"SLC2A4",1
"SLC34A2",1
"SLC39A5",1
"SLC44A4",1
"SLC5A2",1
"SLC6A2",1
"SLC6A9",1
"SLC9A1",1
"SLC9A6",1
"SLC9A7",1
"SMAD9",1
"SMARCC1",1
"SMO",1
"SMPD4",1
"SNAP25",1
"SNIP1",1
"SNRPE",1
"SPART",1
"SPATA16",1
"SPEG",1
"SPG11",1
"SPINT2",1
"SPRTN",1
"SPRY2",1
"SRC",1
"SRP72",1
"SSUH2",1
"ST14",1
"STAC3",1
"STIL",1
"STK10",1
"STT3A",1
"SUGCT",1
"SYNE2",1
"SYP",1
"SYT14",1
"SZT2",1
"TAF2",1
"TANGO2",1
"TAPT1",1
"TARS2",1
"TAT",1
"TBCE",1
"TBX19",1
"TBX2",1
"TBXA2R",1
"TBXT",1
"TCF20",1
"TCOF1",1
"TCTN3",1
"TDO2",1
"TDP1",1
"TEAD1",1
"TECR",1
"TFAM",1
"TFRC",1
"TGFB3",1
"TGM5",1
"THG1L",1
"THOC6",1
"TIA1",1
"TICAM1",1
"TIMM8A",1
"TJP2",1
"TKT",1
"TLE6",1
"TLR3",1
"TMEM106B",1
"TMEM107",1
"TMEM126B",1
"TMEM132E",1
"TMEM70",1
"TMLHE",1
"TNFAIP3",1
"TNFRSF4",1
"TNFSF11",1
"TNNI2",1
"TNNI3K",1
"TNPO3",1
"TOP2B",1
"TPH2",1
"TRAF3",1
"TRAIP",1
"TRAPPC11",1
"TRAPPC2L",1
"TRDN",1
"TREM2",1
"TRIM2",1
"TRIM36",1
"TRIM44",1
"TRIOBP",1
"TRIT1",1
"TRMT10A",1
"TRPA1",1
"TRPC3",1
"TSEN2",1
"TSEN34",1
"TSPAN7",1
"TSR2",1
"TTC12",1
"TTC21A",1
"TTI2",1
"TTLL5",1
"TUBB1",1
"TUBB6",1
"TUFM",1
"UBE2T",1
"UBE3B",1
"UBQLN4",1
"UBTF",1
"UCP3",1
"UFM1",1
"UGP2",1
"UNC119",1
"UNC45B",1
"UNC5C",1
"UNG",1
"UPF3B",1
"UQCC3",1
"UQCRC2",1
"UQCRFS1",1
"UQCRQ",1
"USP27X",1
"USP9X",1
"UVSSA",1
"VAX1",1
"VIM",1
"VPS11",1
"VPS13C",1
"VPS16",1
"VPS33A",1
"VPS35",1
"VPS37A",1
"VPS51",1
"VPS53",1
"VWA3B",1
"WARS1",1
"WASHC4",1
"WBP2",1
"WDFY3",1
"WDPCP",1
"WDR81",1
"WEE2",1
"WIPI2",1
"XDH",1
"XPNPEP3",1
"XRCC1",1
"XRCC3",1
"XYLT2",1
"YME1L1",1
"ZBTB16",1
"ZBTB24",1
"ZBTB42",1
"ZCCHC8",1
"ZFHX2",1
"ZFYVE27",1
"ZIC1",1
"ZNF141",1
"ZNF335",1
"ZNF513",1
"ZNF687",1
"ZNF711",1
"ZNHIT3",1
"ZP3",1
"ZSWIM6",1
